company_name,source,title,introduction,date,url
nike,ESG News,ESG News Week In Review: 25 February – 09 March,"In this week’s ESG News Week In Review , regulators tightened climate disclosure and financial risk oversight as governments recalibrated transition policy. Singapore introduced climate transition risk rules for banks and insurers, California set an August 2026 deadline for corporate climate disclosures affecting more than 4,000 companies, and South Korea advanced ISSB-aligned reporting for major listed firms. In Europe, the EU proposed an Industrial Accelerator Act to scale low-carbon manufacturing while Italy called for a pause in the carbon market amid growing ETS tensions.",2026-03-09,https://esgnews.com/esg-news-week-in-review-25-february-09-march/
nike,ESG News,Nike Appoints Cimarron Nix as Chief Sustainability Officer To Lead Global ESG Strategy,"Nike has appointed Cimarron Nix as its new Chief Sustainability Officer, placing a longtime supply chain and labor standards executive at the center of the company’s global ESG strategy.",2026-03-04,https://esgnews.com/nike-appoints-cimarron-nix-chief-sustainability-officer-to-lead-global-esg-strategy/
nike,ESG News,Mitsui Signs Solar VPPA With NIKE Japan to Deliver 100% Renewable Power Across Operations,Mitsui & Co. Project Solutions have signed a long term virtual power purchase agreement with NIKE Japan Group to supply renewable energy attributes generated from domestic solar power projects. The agreement allows NIKE Japan to match all electricity consumed across its owned and operated facilities with renewable energy.,2026-02-24,https://esgnews.com/mitsui-signs-solar-vppa-with-nike-japan-to-deliver-100-renewable-power-across-operations/
nike,ESG News,ESG News Week In Review: : 09 November – 16 November,"In this week’s ESG News Week In Review , the global sustainability landscape entered a phase of recalibration — not retreat — as governments, markets, and corporates aligned around a more pragmatic, technology-driven transition.",2025-11-16,https://esgnews.com/esg-news-week-in-review-09-november-16-november/
nike,ESG News,Nike Expands Circular Polyester Sourcing With Syre and Loop Industries,"Nike has signed twin multi-year agreements with clean-tech innovators Syre and Loop Industries to secure large-scale supply of textile-to-textile circular polyester, accelerating its drive toward a fully closed-loop materials strategy.",2025-11-12,https://esgnews.com/nike-expands-circular-polyester-sourcing-with-syre-and-loop-industries/
nike,ESG News,Apollo Appoints Former Nike Executive Jaycee Pribulsky as Partner and Chief Sustainability Officer,"Apollo Global Management has named Jaycee Pribulsky as Partner and Chief Sustainability Officer, effective October 1, marking a significant leadership transition at one of the world’s largest alternative asset managers.",2025-10-02,https://esgnews.com/apollo-appoints-former-nike-executive-jaycee-pribulsky-as-partner-and-chief-sustainability-officer/
nike,ESG News,Lululemon Appoints Former Nike CSO Noel Kinder to Drive Global Sustainability Strategy,"Lululemon has appointed Noel Kinder , Nike’s former Chief Sustainability Officer, as Senior Vice President of Sustainability , signaling a renewed push to accelerate its impact agenda and ESG performance .",2025-05-22,https://esgnews.com/lululemon-appoints-former-nike-cso-noel-kinder-to-drive-global-sustainability-strategy/
nike,ESG News,Will Paris 2024 be the greenest Olympics in history?,"Paris 2024 is set to be the greenest Olympics ever, targeting a carbon footprint half that of London 2012 and Rio 2016, which were 3.3 million and 3.6 million tonnes of CO2 respectively.",2024-07-23,https://esgnews.com/will-paris-2024-be-the-greenest-olympics-in-history/
nike,ESG News,New Report Criticizes Major Fashion Brands for Ongoing Fossil Fuel Use and Lack of Renewable Energy Initiatives,"Report assesses 11 apparel and footwear companies’ insufficient efforts to eliminate fossil fuels from supply chains, manufacturing, shipping",2024-06-03,https://esgnews.com/new-report-criticizes-major-fashion-brands-for-ongoing-fossil-fuel-use-and-lack-of-renewable-energy-initiatives/
nike,ESG News,ESG News Week In Review: 29 April – 05 May,Welcome back to the ESG News Week In Review!,2024-05-04,https://esgnews.com/esg-news-week-in-review-29-april-05-may/
nike,ESG News,Shaping the Future of Fashion: Sustainable Practices and Realistic Solutions,"Fashion, a dynamic and ever-evolving industry, holds immense power to influence culture and consumption patterns. However, its rapid growth often comes at a significant environmental and social cost. In recent years, the fashion industry has faced mounting pressure to address its unsustainable practices, leading to a surge in initiatives aimed at promoting sustainability. Additionally, governments worldwide, including the European Union (EU), have begun implementing policies and regulations to tackle the environmental impact of fast fashion.",2024-05-03,https://esgnews.com/shaping-the-future-of-fashion-sustainable-practices-and-realistic-solutions/
nike,ESG News,ESG News Releases ‘Top 14 Inspiring Women Leading The Fight Against Climate Change’,"Women have been instrumental in driving the sustainability movement forward. From advocating for climate justice to developing innovative solutions to environmental challenges, women play a critical role in creating a more sustainable world.",2024-03-08,https://esgnews.com/esg-news-releases-top-14-inspiring-women-leading-the-fight-against-climate-change/
nike,ESG News,Jaclyn Noble: The EU is Clearing the Chaos of Environmental Claims,"The European Union (EU) is on a mission to rescue us from the confusion and chaos of eco-marketing claims, and it is perfect timing as we head into a new year! This past week, by an overwhelming majority, the EU voted to adopt new laws which will better protect consumer rights, promote environmentally friendly purchase decisions and support a circular economy that reuses and recycles products.",2024-02-09,https://esgnews.com/jaclyn-noble-the-eu-is-clearing-the-chaos-of-environmental-claims/
nike,ESG News,From Farm to Fashion: Embracing Regenerative Cotton Farming for Nature Positive Apparel,"At the beginning of January, I journeyed to the heart of the Magnolia State, far from the glitz of the Elvis Museum, to visit a cotton farm nestled at the edge of the mighty Mississippi river. This unconventional pilgrimage allowed me to witness the very roots of fashion – literally. Despite cotton’s status as the second most used fiber next to polyester, retailers seldom explore the farm when evaluating the cotton supply chain. Yet, a transformative shift seems imminent, signaling a long overdue change in the way the industry perceives and engages with the source of its most fundamental material.",2024-01-26,https://esgnews.com/from-farm-to-fashion-embracing-regenerative-cotton-farming-for-nature-positive-apparel/
nike,ESG News,"Textile Waste: Reduce, Reuse, Recycle","Guest Blogger : Jaclyn Noble is an experienced and accomplished textile supply chain expert with over 20 years of leadership experience for renowned USA retail brands including Spanx, Coach, The North Face, and Victoria’s Secret. Originally from Scotland, she obtained her degree in Textile Technology before relocating to Hong Kong. In 2002, she settled her family in Westport, where she has been an active member of the community. Jaclyn is the proud mom of three, fun, young adults who all attended Long Lots, Bedford, and Staples. Additionally, she shares her life with two beloved Spaniels, Maxi and Sunny, who can frequently be seen enjoying Winslow Park.",2024-01-04,https://esgnews.com/textile-waste-reduce-reuse-recycle/
nike,ESG News,The Climate Drive Empowers Supply Chain to Accelerate Decarbonization Efforts,"Launched earlier this year by WBCSD, The Climate Drive is a game-changing platform designed to support businesses and their suppliers in speeding up decarbonization efforts. It is now expanding its content offering, featuring a comprehensive Net Zero Guidebook soon available in additional languages, along with an Action Library of around 100 decarbonization actions and case studies that provide practical insights into business impact and implementation for effective climate action.",2023-11-23,https://esgnews.com/the-climate-drive-empowers-supply-chain-to-accelerate-decarbonization-efforts/
nike,ESG News,The Swifting ESG Landscape: Why Taylor Swift is the New “T” in ESG,"ESG was born out of a pretty simple idea. There are Environmental, Social, and Governance factors that can have a profound impact on a company. These non-financial issues can have a financial impact on the company, but it goes well beyond risks. Understanding these outside forces well can represent an opportunity for a company.",2023-11-17,https://esgnews.com/the-swifting-esg-landscape-why-taylor-swift-is-the-new-t-in-esg/
nike,ESG News,"Shanghai Electric, Johnson Controls Forge Alliance to Advance Zero-Carbon Industrial Parks","Shanghai Electric announced to ink the “Carbon & Digital” Joint Laboratory Strategic Cooperation Agreement with Johnson Controls Inc. (Johnson Controls) during the China International Import Expo (CIIE) 2023, a move that will strengthen the pair’s synergy as they endeavor to fuel innovation for urban sustainability. The partnership, with its focus on expediting the development of zero-carbon factories and industrial parks, will see the two companies establish a green and low-carbon supply chain system in an effort to empower the energy sector to enhance efficiency and reduce carbon footprints.",2023-11-14,https://esgnews.com/shanghai-electric-johnson-controls-forge-alliance-to-advance-zero-carbon-industrial-parks/
nike,ESG News,Singapore’s Sembcorp to Invest $10.5 Billion to Drive Global Energy Transition,"Sembcorp Industries (Sembcorp) announced its 2023-2028 strategic plan, reaffirming its commitment to transform its portfolio from brown to green and drive energy transition.",2023-11-06,https://esgnews.com/singapores-sembcorp-to-invest-10-5-billion-to-drive-global-energy-transition/
nike,ESG News,"Apple, Nike Launch Clean Energy Procurement Academy to Decarbonize Global Supply Chains","The Clean Energy Procurement Academy launched to equip companies with the skills and knowledge required to access clean energy with foundational support from Apple, Amazon, Meta, Nike, PepsiCo, and REI Co-op.",2023-11-03,https://esgnews.com/apple-nike-launch-clean-energy-procurement-academy-to-decarbonize-global-supply-chains/
nike,ESG News,EU Proposes Industrial Accelerator Act To Boost Low Carbon Manufacturing,"The European Commission has unveiled the Industrial Accelerator Act, a sweeping legislative proposal designed to boost demand for low carbon technologies produced in Europe while reinforcing the region’s industrial base amid rising global competition.",2026-03-05,https://esgnews.com/eu-proposes-industrial-accelerator-act-to-boost-low-carbon-manufacturing/
nike,ESG News,China Targets 17% Carbon Intensity Cut By 2030 In New Climate Plan,China has released a new five-year economic decarbonisation plan that seeks to reduce emissions intensity while maintaining energy security in the world’s second-largest economy.,2026-03-05,https://esgnews.com/china-targets-17-carbon-intensity-cut-by-2030-in-new-climate-plan/
nike,ESG News,South Korea Moves Toward Mandatory ISSB-Aligned Climate Disclosures For Large KOSPI Firms,"The Korean Financial Services Commission (FSC) has launched a consultation on a national roadmap that would introduce mandatory sustainability reporting for major listed companies, aligning the country’s disclosure framework with global standards developed by the International Sustainability Standards Board.",2026-03-05,https://esgnews.com/south-korea-moves-toward-mandatory-issb-aligned-climate-disclosures-for-large-kospi-firms/
nike,ESG News,"Google Commits $50 Million to Cut Methane, Other Superpollutants Through 2030","Google has pledged at least $50 million through 2030 to eliminate some of the most powerful greenhouse gases warming the planet, joining a new corporate coalition focused on rapidly cutting so-called superpollutants.",2026-03-06,https://esgnews.com/google-commits-50-million-to-cut-methane-other-superpollutants-through-2030/
nike,ESG News,Mantle8 Secures $2.2M EU Just Transition Fund Grant For Natural Hydrogen Tech,"Mantle8, a European natural hydrogen exploration company, has secured €2.06 million ($2.2 million) from the European Union’s Just Transition Fund to accelerate development of its natural hydrogen technology platform.",2026-03-10,https://esgnews.com/mantle8-secures-2-2m-eu-just-transition-fund-grant-for-natural-hydrogen-tech/
nike,ESG News,UK Launches Net Zero Carbon Buildings Standard To Define Credible Climate Claims Across Property Sector,"A new cross industry framework designed to define what constitutes a genuine net zero carbon building has formally launched in the UK, offering the property sector its first unified benchmark for verifying climate claims.",2026-03-10,https://esgnews.com/uk-launches-net-zero-carbon-buildings-standard-to-define-credible-climate-claims-across-property-sector/
nike,ESG News,EU Chief Calls Europe’s Nuclear Phase-Down A Strategic Mistake,"Europe’s retreat from nuclear energy over the past three decades was a “ strategic mistake ,” European Commission President Ursula von der Leyen said Tuesday, arguing that the shift has left the region vulnerable to volatile fossil fuel markets at a time of rising geopolitical tension.",2026-03-10,https://esgnews.com/eu-chief-calls-europes-nuclear-phase-down-a-strategic-mistake/
nike,ESG News,German Start-Up Polarise Targets 30 MW AI Data Centre Expansion,A German technology start-up is moving to expand Europe’s control over artificial intelligence infrastructure with plans to build a major new data centre that could double the country’s domestically operated computing capacity.,2026-03-10,https://esgnews.com/german-start-up-polarise-targets-30-mw-ai-data-centre-expansion/
nike,ESG News,The Climate Drive Empowers Supply Chain to Accelerate Decarbonization Efforts,"Launched earlier this year by WBCSD, The Climate Drive is a game-changing platform designed to support businesses and their suppliers in speeding up decarbonization efforts. It is now expanding its content offering, featuring a comprehensive Net Zero Guidebook soon available in additional languages, along with an Action Library of around 100 decarbonization actions and case studies that provide practical insights into business impact and implementation for effective climate action.",2023-11-23,https://esgnews.com/the-climate-drive-empowers-supply-chain-to-accelerate-decarbonization-efforts/
nike,ESG News,The Swifting ESG Landscape: Why Taylor Swift is the New “T” in ESG,"ESG was born out of a pretty simple idea. There are Environmental, Social, and Governance factors that can have a profound impact on a company. These non-financial issues can have a financial impact on the company, but it goes well beyond risks. Understanding these outside forces well can represent an opportunity for a company.",2023-11-17,https://esgnews.com/the-swifting-esg-landscape-why-taylor-swift-is-the-new-t-in-esg/
nike,ESG News,"Shanghai Electric, Johnson Controls Forge Alliance to Advance Zero-Carbon Industrial Parks","Shanghai Electric announced to ink the “Carbon & Digital” Joint Laboratory Strategic Cooperation Agreement with Johnson Controls Inc. (Johnson Controls) during the China International Import Expo (CIIE) 2023, a move that will strengthen the pair’s synergy as they endeavor to fuel innovation for urban sustainability. The partnership, with its focus on expediting the development of zero-carbon factories and industrial parks, will see the two companies establish a green and low-carbon supply chain system in an effort to empower the energy sector to enhance efficiency and reduce carbon footprints.",2023-11-14,https://esgnews.com/shanghai-electric-johnson-controls-forge-alliance-to-advance-zero-carbon-industrial-parks/
nike,ESG News,Singapore’s Sembcorp to Invest $10.5 Billion to Drive Global Energy Transition,"Sembcorp Industries (Sembcorp) announced its 2023-2028 strategic plan, reaffirming its commitment to transform its portfolio from brown to green and drive energy transition.",2023-11-06,https://esgnews.com/singapores-sembcorp-to-invest-10-5-billion-to-drive-global-energy-transition/
nike,ESG News,"Apple, Nike Launch Clean Energy Procurement Academy to Decarbonize Global Supply Chains","The Clean Energy Procurement Academy launched to equip companies with the skills and knowledge required to access clean energy with foundational support from Apple, Amazon, Meta, Nike, PepsiCo, and REI Co-op.",2023-11-03,https://esgnews.com/apple-nike-launch-clean-energy-procurement-academy-to-decarbonize-global-supply-chains/
nike,ESG News,How Nike Is Improving Communities’ Climate Resilience,What to know,2023-10-26,https://esgnews.com/how-nike-is-improving-communities-climate-resilience/
nike,ESG News,Nike and Spotify Launch Make Moves Fund to Help Girls Improve Mental Well-Being,"Movement and music are proven to have a profound and positive impact on mental well-being, creating keys to unlock self-expression, confidence and joy. Dance in particular is an easily accessible form of movement and way to express individuality and create connection.",2023-10-13,https://esgnews.com/nike-and-spotify-launch-make-moves-fund-to-help-girls-improve-mental-well-being/
nike,ESG News,World Shoe Launches Eco-friendly Footwear Factory in Ghana,"More than five million shoes will be produced annually with a revolutionary design that combines performance function, environmental sustainability, and disease protection.",2023-10-11,https://esgnews.com/world-shoe-launches-eco-friendly-footwear-factory-in-ghana/
nike,ESG News,"Nike Launches ISPA Link Axis, a 100% Recyclable Shoe.","Make the bold bolder. That’s the vibe of the new Nike ISPA Link Axis, Nike’s first exploration into creating a fully circular shoe, furthering its culture of innovation.",2023-09-11,https://esgnews.com/nike-launches-ispa-link-axis-a-100-recyclable-shoe/
nike,ESG News,Nike Teams With Olympic Refuge Foundation,"Nike believes that the power of sport can move the world forward. That taking action to create a better world — one that is more active, inclusive and equitable for everyone — means prioritizing those who face the greatest barriers, including displaced community members.",2023-09-06,https://esgnews.com/nike-teams-with-olympic-refuge-foundation/
nike,ESG News,Nike’s New Global Football Program Helps Drive Gender Equity in Sport,"As the world watches its most elite footballers compete in Australia and New Zealand, Nike is proud to introduce a new program to help grow the game’s future players.",2023-08-22,https://esgnews.com/nikes-new-global-football-program-helps-drive-gender-equity-in-sport/
nike,ESG News,Startups Racing to Solve Fashion’s Fossil-Fueled Challenge,"Transferring dye to fabric is incredibly carbon-intensive. Newer sustainable techniques, including coloring with carbon dioxide, may help.",2023-08-18,https://esgnews.com/startups-racing-to-solve-fashions-fossil-fueled-challenge/
nike,ESG News,ESG News: Week in Review,May 2023 Week-4; NGHC closes $8.4 billion green hydrogen plant; ADNOC and TAQA announce $2.4 billion for sustainable water supply; Enel to invest $1 billion in Oklahoma solar facility; Severn Trent to invest $1.3 billion to improve environmental standards; Nike launches hydrogen-powered ship with zero carbon emissions; Volvo to buy half of Swedish wind farm’s power; FedEx launches tool for customer emissions tracking; KPMG and Microsoft to launch ESG digital solutions for businesses…,2023-05-26,https://esgnews.com/esg-news-week-in-review-18/
nike,ESG News,Nike Launches First Hydrogen-Powered Inland Container Ship With Zero Carbon Emissions,"Nike’s ultimate goal is a zero-carbon, zero-waste future. With the launch of the world’s first hydrogen-powered inland container ship, Nike is taking action to help create a better world for all athletes and taking another step on its Move To Zero journey.",2023-05-24,https://esgnews.com/nike-launches-first-hydrogen-powered-inland-container-ship-with-zero-carbon-emissions/
nike,ESG News,How ESG Influence Profitability and Transparency in FT 500 Companies Presented in New Research From CSE,"For the sixth consecutive year, the Center for Sustainability and Excellence announced the unique findings from its Research in ESG Ratings and Reporting Trends , focusing on ESG best practices and standards used in 2022. CSE’s research examined the ESG practices and commitments of more than 400 FT 500 companies in North America and Europe from 31 sectors, with a high percentage of profitability within the last years. CSE’s research identified the Top 25 ESG Performing Companies and Top 10 per Sector and explored common success practices, including the most widely used ESG Standards and goals setting.",2023-01-18,https://esgnews.com/how-esg-influence-profitability-and-transparency-in-ft-500-companies-presented-in-new-research-from-cse/
