article_id,company_name,source,title,introduction,published_at,url,labour_relations,human_rights_community,tax_transparency_accounting,shareholder_rights,health_safety,waste_pollution,company,conduct_anti_corruption,climate_transition,board_management,water_use,biodiversity,energy_resource
28,nike,ESG News,Osapiens Survey: 90% Of European Companies Continue Sustainability Reporting After EU Omnibus Changes,European companies are largely choosing to continue sustainability reporting even after regulatory changes removed many from mandatory disclosure requirements under the EU’s Omnibus simplification package.,2026-03-11,https://esgnews.com/osapiens-survey-90-of-european-companies-continue-sustainability-reporting-after-eu-omnibus-changes/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
27,nike,ESG News,JP Morgan Provides $30 Million Venture Debt Facility to Scale Electra’s Clean Iron Technology,Clean iron technology company Electra has secured a $30 million venture debt facility from JP Morgan as it prepares to move toward its first commercial-scale production facility.,2026-03-11,https://esgnews.com/jp-morgan-provides-30-million-venture-debt-facility-to-scale-electras-clean-iron-technology/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
26,nike,ESG News,"Rolls-Royce SMR, Equilibrion Partner To Produce 160 Million Litres Of Nuclear-Powered SAF Annually","Rolls-Royce SMR and nuclear technology developer Equilibrion have launched a joint assessment to examine how small modular reactors could power large-scale production of Sustainable Aviation Fuel, a step aimed at tackling one of aviation’s most difficult decarbonisation challenges.",2026-03-11,https://esgnews.com/rolls-royce-smr-equilibrion-partner-to-produce-160-million-litres-of-nuclear-powered-saf-annually/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
25,nike,ESG News,"Emerald Water Fund II Reaches $108M With Temasek, Grundfos Backing","Emerald Technology Ventures has reached €100 million ($108 million) for its Global Water Fund II, bringing new capital from Temasek and the Grundfos Foundation into a venture platform focused on water resilience technologies.",2026-03-11,https://esgnews.com/emerald-water-fund-ii-reaches-108m-with-temasek-grundfos-backing/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
23,nike,ESG News,China’s 2026–2030 Plan Boosts Clean Energy While Loosening Emissions Targets,"China has released the draft outline of its 15th Five-Year Plan, laying out the country’s economic and energy strategy from 2026 to 2030. The blueprint emphasizes massive expansion of renewable energy, grid infrastructure, and emerging technologies such as hydrogen and nuclear fusion. Yet it stops short of committing to strict emissions reductions or a rapid phase down of coal.",2026-03-09,https://esgnews.com/chinas-2026-2030-plan-boosts-clean-energy-while-loosening-emissions-targets/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
1,nike,ESG News,ESG News Week In Review: 25 February – 09 March,"In this week’s ESG News Week In Review , regulators tightened climate disclosure and financial risk oversight as governments recalibrated transition policy. Singapore introduced climate transition risk rules for banks and insurers, California set an August 2026 deadline for corporate climate disclosures affecting more than 4,000 companies, and South Korea advanced ISSB-aligned reporting for major listed firms. In Europe, the EU proposed an Industrial Accelerator Act to scale low-carbon manufacturing while Italy called for a pause in the carbon market amid growing ETS tensions.",2026-03-09,https://esgnews.com/esg-news-week-in-review-25-february-09-march/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
73,nike,ESG Today,ESG Today: Week in Review,ESG News,2026-03-08,https://www.esgtoday.com/esg-today-week-in-review-251/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
287,columbia,ESG Today,Svante Acquires Carbon Removal Supplier Carbon Alpha,Environment / M&A,2026-03-06,https://www.esgtoday.com/svante-acquires-carbon-removal-supplier-carbon-alpha/,0.0,0.0,0.0,0.0,0.0,0.0,columbia,0.0,0.3,0.0,0.0,0.0,0.0
24,nike,ESG News,Lloyd’s in Talks With U.S. Over Gulf Shipping Insurance Plan,"The Lloyd’s of London insurance market is in discussions with the U.S. government’s International Development Finance Corporation (DFC) over a plan to provide political risk insurance and financial guarantees for vessels operating in the Gulf, as geopolitical tensions raise concerns about the stability of one of the world’s most critical energy shipping routes.",2026-03-06,https://esgnews.com/lloyds-in-talks-with-u-s-over-gulf-shipping-insurance-plan/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
22,nike,ESG News,"MAS Sets Climate Transition Risk Rules for Banks, Insurers and Asset Managers","The Monetary Authority of Singapore (MAS) has issued new supervisory guidelines directing banks, insurers and asset managers to embed climate transition planning into their core risk management practices.",2026-03-06,https://esgnews.com/mas-sets-climate-transition-risk-rules-for-banks-insurers-and-asset-managers/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
21,nike,ESG News,"Google Commits $50 Million to Cut Methane, Other Superpollutants Through 2030","Google has pledged at least $50 million through 2030 to eliminate some of the most powerful greenhouse gases warming the planet, joining a new corporate coalition focused on rapidly cutting so-called superpollutants.",2026-03-06,https://esgnews.com/google-commits-50-million-to-cut-methane-other-superpollutants-through-2030/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
40,nike,ESG Dive,"Trump’s anti-DEI orders stand for now, but future challenges can’t be ruled out","The White House is emboldened to act “aggressively,” making it important for employers to audit their DEI programs, management-side attorneys say.",2026-03-05,https://www.esgdive.com/news/trump-anti-dei-orders-stand-future-challenges/813931/,-0.3,-0.3,0.0,0.0,0.0,0.0,nike,0.0,0.0,-0.2,0.0,0.0,0.0
289,columbia,ESG Today,"NBIM, Brookfield, BCI Launch New Platform to Own, Acquire Clean Energy Infrastructure Across North America",Energy Transition / Investors / Private Equity & Venture Capital,2026-03-04,https://www.esgtoday.com/nbim-brookfield-bci-launch-new-platform-to-own-acquire-clean-energy-infrastructure-across-north-america/,0.0,0.0,0.0,0.0,0.0,0.0,columbia,0.0,0.5,0.0,0.0,0.0,0.5
288,columbia,ESG Today,"Svante Acquires Carbon Dioxide Removal Project Developer, Carbon Alpha Corp.",,2026-03-04,https://www.esgtoday.com/svante-acquires-carbon-dioxide-removal-project-developer-carbon-alpha-corp/,0.0,0.0,0.0,0.0,0.0,0.0,columbia,0.0,0.3,0.0,0.0,0.0,0.0
193,columbia,ESG News,"Norges Bank, BCI And Brookfield Launch Northview Energy With 2.3 GW Renewable Portfolio","British Columbia Investment Management Corporation (BCI), Norges Bank Investment Management, and Brookfield have launched Northview Energy, a privately held renewable energy platform built around contracted, utility-scale wind and solar assets across North America.",2026-03-04,https://esgnews.com/norges-bank-bci-and-brookfield-launch-northview-energy-with-2-3-gw-renewable-portfolio/,0.0,0.0,0.0,0.0,0.0,0.0,columbia,0.0,0.8,0.0,0.0,0.0,0.8
63,nike,ESG Today,Nike Appoints New Chief Sustainability Officer,Companies / Executive Moves,2026-03-04,https://www.esgtoday.com/nike-appoints-new-chief-sustainability-officer/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.3,0.0,0.0,0.0
2,nike,ESG News,Nike Appoints Cimarron Nix as Chief Sustainability Officer To Lead Global ESG Strategy,"Nike has appointed Cimarron Nix as its new Chief Sustainability Officer, placing a longtime supply chain and labor standards executive at the center of the company’s global ESG strategy.",2026-03-04,https://esgnews.com/nike-appoints-cimarron-nix-chief-sustainability-officer-to-lead-global-esg-strategy/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.3,0.3,0.0,0.0,0.0
74,nike,ESG Today,ESG Today: Week in Review,ESG News,2026-03-01,https://www.esgtoday.com/esg-today-week-in-review-250/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
194,columbia,ESG News,"Meta, MN8 Energy Sign 80 MW Solar PPA To Power U.S. Data Centers","MN8 Energy has signed a long term power purchase agreement with Meta for the full output of its 80 megawatt Walker Solar Project, marking the first agreement between the two companies and adding fresh renewable capacity to the PJM Interconnection grid.",2026-02-26,https://esgnews.com/meta-mn8-energy-sign-80-mw-solar-ppa-to-power-u-s-data-centers/,0.0,0.0,0.0,0.0,0.0,0.0,columbia,0.0,0.0,0.0,0.0,0.0,0.0
41,nike,ESG Dive,Nike signs agreement to power Japan operations with solar energy,"The athletic footwear and apparel brand’s Japan subsidiary has signed a virtual power purchase agreement with Mitsui & Co., which will supply Nike with clean electricity for its operations.",2026-02-25,https://www.esgdive.com/news/nike-mitsui-sign-ppa-to-power-japan-operations-with-solar-energy/813136/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.3,0.0,0.0,0.0,0.3
64,nike,ESG Today,Nike Sources 100% Clean Electricity for Japan Operations,Companies / Energy Transition,2026-02-24,https://www.esgtoday.com/nike-sources-100-clean-electricity-for-japan-operations/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.4,0.0,0.0,0.0,0.5
3,nike,ESG News,Mitsui Signs Solar VPPA With NIKE Japan to Deliver 100% Renewable Power Across Operations,Mitsui & Co. Project Solutions have signed a long term virtual power purchase agreement with NIKE Japan Group to supply renewable energy attributes generated from domestic solar power projects. The agreement allows NIKE Japan to match all electricity consumed across its owned and operated facilities with renewable energy.,2026-02-24,https://esgnews.com/mitsui-signs-solar-vppa-with-nike-japan-to-deliver-100-renewable-power-across-operations/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.4,0.0,0.0,0.0,0.4
195,columbia,ESG News,"California, UK Deepen Climate Partnership As Octopus Energy Commits Nearly $1 Billion To Clean Tech","California Governor Gavin Newsom announced an expanded climate partnership with the United Kingdom during a diplomatic visit aimed at strengthening cooperation on clean energy, trade, and sustainable development. The trip culminated in a landmark investment commitment and a formal agreement to deepen climate collaboration between one of the world’s largest subnational economies and a major European power.",2026-02-18,https://esgnews.com/california-uk-deepen-climate-partnership-as-octopus-energy-commits-nearly-1-billion-to-clean-tech/,0.0,0.0,0.0,0.0,0.0,0.0,columbia,0.0,0.0,0.0,0.0,0.0,0.0
352,boohoo,ESG News,Tem Secures $75M To Scale AI Infrastructure As Power Demand Surges 165% By 2030,"As power demand from AI and electrification accelerates, UK-based energy infrastructure company Tem has raised $75 million in a Series B round to modernise how electricity is bought and sold.",2026-02-11,https://esgnews.com/tem-secures-75m-to-scale-ai-infrastructure-as-power-demand-surges-165-by-2030/,0.0,0.0,0.0,0.0,0.0,0.0,boohoo,0.0,0.0,0.0,0.0,0.0,0.0
42,nike,ESG Dive,Legal group claims victory after EEOC ‘retreated’ on law firm DEI letters,"Most of the 20 major law firms that received letters declined to provide the requested information, and the agency said it “considers the matter of responding to those letters closed.”",2026-02-11,https://www.esgdive.com/news/eeoc-law-firms-end-lawsuit-dei-practices/811979/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
75,nike,ESG Today,"U.S. Court Dismisses Missouri Anti-DEI Case Against Starbucks, Finding No Indication “that Discrimination Actually Took Place”",Companies / Government / Social,2026-02-09,https://www.esgtoday.com/court-dismisses-missouri-anti-dei-case-against-starbucks-finding-no-indication-that-discrimination-actually-took-place/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
76,nike,ESG Today,ESG Today: Week in Review,ESG News,2026-02-08,https://www.esgtoday.com/esg-today-week-in-review-247/,0.0,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
244,columbia,ESG Dive,EPA reconsiders Good Neighbor Plan that limited industrial emissions,"The agency seeks to roll back the Biden-era program, which sought to cut ozone-forming emissions of nitrogen oxides from power plants and industrial facilities, as pollution often crosses state lines.",2026-02-06,https://www.esgdive.com/news/epa-reconsiders-good-neighbor-plan-that-limited-industrial-emissions/811597/,0.0,0.0,0.0,0.0,0.0,0.2,columbia,0.0,0.0,0.0,0.0,0.0,0.0
65,nike,ESG Today,Nike Hit with Federal Investigation Alleging Discrimination Against White Workers in U.S. DEI Crackdown,Companies / Government,2026-02-05,https://www.esgtoday.com/nike-hit-with-federal-investigation-alleging-discrimination-against-white-workers-in-u-s-dei-crackdown/,-0.8,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
43,nike,ESG Dive,Nike among the first targeted by EEOC for DEI activity,The retail giant called the commission’s attempt to enforce an administrative subpoena Wednesday a “surprising and unusual escalation.”,2026-02-05,https://www.esgdive.com/news/eeoc-nike-anti-white-bias-subpoena-dei/811464/,-0.4,0.0,0.0,0.0,0.0,0.0,nike,0.0,0.0,0.0,0.0,0.0,0.0
245,columbia,ESG Dive,Trump administration is now 0-5 in latest effort to halt offshore wind,Ørsted’s 924-megawatt Sunrise Wind was the fifth and final affected project to win a preliminary injunction to continue construction.,2026-02-04,https://www.esgdive.com/news/trump-burgum-offshore-wind-orsted-sunrise-wind/811329/,0.0,0.0,0.0,0.0,0.0,0.0,columbia,0.0,0.8,0.0,0.0,0.0,0.8
246,columbia,ESG Dive,FTC fires warning shot at law firms that pursued DEI certification,"Under President Donald Trump, the agency has said it will target “collusion or unlawful coordination on DEI metrics” that diminishes labor competition.",2026-02-03,https://www.esgdive.com/news/ftc-warning-shot-law-firms-pursued-dei-certification-diversity-lab/811214/,-0.3,-0.3,0.0,0.0,0.0,0.0,columbia,0.0,0.0,-0.3,0.0,0.0,0.0
138,puma,ESG Today,Lune Merges with gryn to Create Supply Chain Carbon Data Platform for Shipping and Logistics,"ESG Tools, Services / M&A",2026-01-21,https://www.esgtoday.com/lune-merges-with-gryn-to-create-supply-chain-carbon-data-platform-for-shipping-and-logistics/,0.0,0.0,0.0,0.0,0.0,0.0,puma,0.0,0.0,0.0,0.0,0.0,0.0
247,columbia,ESG Dive,"Trump administration unlawfully cut clean energy grants, court rules","The decision is a victory for St. Paul, Minnesota, and a coalition of energy and environmental groups that sued the U.S. Department of Energy after it canceled $7.5 billion in financial awards.",2026-01-14,https://www.esgdive.com/news/trump-administration-unlawfully-cut-clean-energy-grants-court-rules/809586/,0.0,0.0,0.0,0.0,0.0,0.0,columbia,0.0,0.0,0.0,0.0,0.0,0.0
196,columbia,ESG News,Ørsted Takes US Government to Court Over Halted $5 Billion Offshore Wind Project Weeks From Power Generation,"Denmark based Ørsted has launched a legal challenge against the US government after federal authorities ordered construction to halt on its nearly completed Revolution Wind offshore project, a $5 billion development expected to begin generating electricity within weeks.",2026-01-05,https://esgnews.com/orsted-takes-us-government-to-court-over-halted-5-billion-offshore-wind-project-weeks-from-power-generation/,0.0,0.0,0.0,0.0,0.0,0.0,columbia,0.0,-0.8,0.0,0.0,0.0,-0.8
248,columbia,ESG Dive,Mercedes settles emissions-cheating lawsuits for nearly $150M,"The total value of the multi-state settlement could reach $347 million, according to one state attorney general.",2025-12-23,https://www.esgdive.com/news/mercedes-settles-emissions-cheating-lawsuit-for-nearly-150m-dieselgate/808643/,0.0,0.0,0.0,0.0,0.0,0.0,columbia,0.0,0.0,0.0,0.0,0.0,0.0
